iso3,economy,regulator,round_year,as_of_date,variable,value,status,confidence,source,note,coded_on
ALB,Albania,Bank of Albania,2017,2016-12-31,ib_legal_framework,0.0,verified,high,"No dedicated statute; UBA licensed under Law No.9662 of 18.12.2006 ""On Banks in the Republic of Albania"", Licence No.03/1 | uba.com.al/about-uba/ ; islamicfinancenews.com",Same criterion as Guinea,2026-08-16
ALB,Albania,Bank of Albania,2021,2020-12-31,ib_legal_framework,0.0,verified,high,"No dedicated statute; UBA licensed under Law No.9662 of 18.12.2006 ""On Banks in the Republic of Albania"", Licence No.03/1 | uba.com.al/about-uba/ ; islamicfinancenews.com",Same criterion as Guinea,2026-08-16
ALB,Albania,Bank of Albania,2011,2010-12-31,ib_regime,2.0,verified,high,"United Bank of Albania (ex Arab-Albanian Islamic Bank), IsDB shareholder | amcham.com.al/member/united-bank-of-albania/",Founding year disputed 1993/1994/1999; all precede 2010-12-31,2026-08-16
ALB,Albania,Bank of Albania,2014,2013-12-31,ib_regime,2.0,verified,high,"United Bank of Albania (ex Arab-Albanian Islamic Bank), IsDB shareholder | amcham.com.al/member/united-bank-of-albania/",Founding year disputed 1993/1994/1999; all precede 2010-12-31,2026-08-16
ALB,Albania,Bank of Albania,2017,2016-12-31,ib_regime,2.0,verified,high,"United Bank of Albania (ex Arab-Albanian Islamic Bank), IsDB shareholder | amcham.com.al/member/united-bank-of-albania/",Founding year disputed 1993/1994/1999; all precede 2010-12-31,2026-08-16
ALB,Albania,Bank of Albania,2021,2020-12-31,ib_regime,2.0,verified,high,"United Bank of Albania (ex Arab-Albanian Islamic Bank), IsDB shareholder | amcham.com.al/member/united-bank-of-albania/",Founding year disputed 1993/1994/1999; all precede 2010-12-31,2026-08-16
ARE,United Arab Emirates,National central bank,2011,2010-12-31,ib_legal_framework,1,verified,high,"Federal Law No. (6) of 1985 Regarding Islamic Banks, Financial Institutions and Investment Companies (dedicated federal act; Art. 5 Higher Shari'ah Authority) | centralbank.ae/en/rulebook/other-institutions/pre-2012-regulations/federal-law-no-6-of-1985-regarding-islamic-banks-financial-institutions-and-investment-companies/ ; centralbank.ae/en/our-operations/islamic-finance/ . For 2021: Decretal Federal Law No. (14) of 2018 (in force 30.09.2018) repealed the 1985 Law and carries dedicated provisions on Islamic financial institutions and the Higher Shari'ah Authority; Cabinet Resolution No. (102/5/1) of 08.05.2016 establishing the Higher Shari'ah Authority | rulebook.centralbank.ae/en/rulebook/central-bank-organization-financial-institutions-and-activities-law","CONFIRMED. Federal Law 6/1985 is a standalone dedicated act and covers 2011, 2014 and 2017. It was repealed on 30.09.2018 by the 2018 Banking Law; the 2021 cell rests on that law's dedicated Islamic-financial-institutions provisions plus the Higher Shari'ah Authority, which I have not read article by article - confidence medium for 2021 only.",2026-08-16
ARE,United Arab Emirates,National central bank,2014,2013-12-31,ib_legal_framework,1,verified,high,"Federal Law No. (6) of 1985 Regarding Islamic Banks, Financial Institutions and Investment Companies (dedicated federal act; Art. 5 Higher Shari'ah Authority) | centralbank.ae/en/rulebook/other-institutions/pre-2012-regulations/federal-law-no-6-of-1985-regarding-islamic-banks-financial-institutions-and-investment-companies/ ; centralbank.ae/en/our-operations/islamic-finance/ . For 2021: Decretal Federal Law No. (14) of 2018 (in force 30.09.2018) repealed the 1985 Law and carries dedicated provisions on Islamic financial institutions and the Higher Shari'ah Authority; Cabinet Resolution No. (102/5/1) of 08.05.2016 establishing the Higher Shari'ah Authority | rulebook.centralbank.ae/en/rulebook/central-bank-organization-financial-institutions-and-activities-law","CONFIRMED. Federal Law 6/1985 is a standalone dedicated act and covers 2011, 2014 and 2017. It was repealed on 30.09.2018 by the 2018 Banking Law; the 2021 cell rests on that law's dedicated Islamic-financial-institutions provisions plus the Higher Shari'ah Authority, which I have not read article by article - confidence medium for 2021 only.",2026-08-16
ARE,United Arab Emirates,National central bank,2017,2016-12-31,ib_legal_framework,1,verified,high,"Federal Law No. (6) of 1985 Regarding Islamic Banks, Financial Institutions and Investment Companies (dedicated federal act; Art. 5 Higher Shari'ah Authority) | centralbank.ae/en/rulebook/other-institutions/pre-2012-regulations/federal-law-no-6-of-1985-regarding-islamic-banks-financial-institutions-and-investment-companies/ ; centralbank.ae/en/our-operations/islamic-finance/ . For 2021: Decretal Federal Law No. (14) of 2018 (in force 30.09.2018) repealed the 1985 Law and carries dedicated provisions on Islamic financial institutions and the Higher Shari'ah Authority; Cabinet Resolution No. (102/5/1) of 08.05.2016 establishing the Higher Shari'ah Authority | rulebook.centralbank.ae/en/rulebook/central-bank-organization-financial-institutions-and-activities-law","CONFIRMED. Federal Law 6/1985 is a standalone dedicated act and covers 2011, 2014 and 2017. It was repealed on 30.09.2018 by the 2018 Banking Law; the 2021 cell rests on that law's dedicated Islamic-financial-institutions provisions plus the Higher Shari'ah Authority, which I have not read article by article - confidence medium for 2021 only.",2026-08-16
ARE,United Arab Emirates,National central bank,2021,2020-12-31,ib_legal_framework,1,verified,medium,"Federal Law No. (6) of 1985 Regarding Islamic Banks, Financial Institutions and Investment Companies (dedicated federal act; Art. 5 Higher Shari'ah Authority) | centralbank.ae/en/rulebook/other-institutions/pre-2012-regulations/federal-law-no-6-of-1985-regarding-islamic-banks-financial-institutions-and-investment-companies/ ; centralbank.ae/en/our-operations/islamic-finance/ . For 2021: Decretal Federal Law No. (14) of 2018 (in force 30.09.2018) repealed the 1985 Law and carries dedicated provisions on Islamic financial institutions and the Higher Shari'ah Authority; Cabinet Resolution No. (102/5/1) of 08.05.2016 establishing the Higher Shari'ah Authority | rulebook.centralbank.ae/en/rulebook/central-bank-organization-financial-institutions-and-activities-law","CONFIRMED. Federal Law 6/1985 is a standalone dedicated act and covers 2011, 2014 and 2017. It was repealed on 30.09.2018 by the 2018 Banking Law; the 2021 cell rests on that law's dedicated Islamic-financial-institutions provisions plus the Higher Shari'ah Authority, which I have not read article by article - confidence medium for 2021 only.",2026-08-16
ARE,United Arab Emirates,National central bank,2011,2010-12-31,ib_regime,2,verified,high,"IFSB, IFSI Stability Report 2013, Chart 1.1.1, p.22: Islamic banking share of total domestic banking assets = 21.5% (2012E). A measurable share of domestic banking assets cannot exist without licensed Islamic banks.",,2026-08-16
ARE,United Arab Emirates,National central bank,2014,2013-12-31,ib_regime,2,verified,high,"IFSB, IFSI Stability Report 2015, Chart 1.1.1.3, p.24: Islamic banking share of total domestic banking assets = 17.4% (1H2014). A measurable share of domestic banking assets cannot exist without licensed Islamic banks.",,2026-08-16
ARE,United Arab Emirates,National central bank,2017,2016-12-31,ib_regime,2,verified,high,"IFSB, IFSI Stability Report 2018, Chart 1.1.2, p.28: Islamic banking share of total domestic banking assets = 19.9% (1H2017). A measurable share of domestic banking assets cannot exist without licensed Islamic banks.",,2026-08-16
ARE,United Arab Emirates,National central bank,2021,2020-12-31,ib_regime,2,verified,high,"IFSB, IFSI Stability Report 2022, Chart 1.2.1, p.25: Islamic banking share of total domestic banking assets = 23.9% (2021). A measurable share of domestic banking assets cannot exist without licensed Islamic banks.",,2026-08-16
AZE,Azerbaijan,National central bank,2011,2010-12-31,ib_legal_framework,0,verified,high,"No dedicated instrument in force at any reference date. Draft amendments to the Civil Code, Tax Code and the Laws 'On Banks' and 'On Non-Bank Credit Organizations' were still under legal review in Feb 2026 - Central Bank of Azerbaijan, Director General Mahmudzade, interview | trend.az/business/4155239.html ; eurasianet.org/azerbaijan-islamic-banking-knocking-on-the-door ; azernews.az/business/93359.html (25.02.2016)","REFUTED - no instrument to confirm. Absence here is documented, not inferred from silence: the central bank itself states legislation is still in draft and that no bank operates in full compliance with Islamic banking principles. Coded 0 rather than left open on that basis.",2026-08-16
AZE,Azerbaijan,National central bank,2014,2013-12-31,ib_legal_framework,0,verified,high,"No dedicated instrument in force at any reference date. Draft amendments to the Civil Code, Tax Code and the Laws 'On Banks' and 'On Non-Bank Credit Organizations' were still under legal review in Feb 2026 - Central Bank of Azerbaijan, Director General Mahmudzade, interview | trend.az/business/4155239.html ; eurasianet.org/azerbaijan-islamic-banking-knocking-on-the-door ; azernews.az/business/93359.html (25.02.2016)","REFUTED - no instrument to confirm. Absence here is documented, not inferred from silence: the central bank itself states legislation is still in draft and that no bank operates in full compliance with Islamic banking principles. Coded 0 rather than left open on that basis.",2026-08-16
AZE,Azerbaijan,National central bank,2017,2016-12-31,ib_legal_framework,0,verified,high,"No dedicated instrument in force at any reference date. Draft amendments to the Civil Code, Tax Code and the Laws 'On Banks' and 'On Non-Bank Credit Organizations' were still under legal review in Feb 2026 - Central Bank of Azerbaijan, Director General Mahmudzade, interview | trend.az/business/4155239.html ; eurasianet.org/azerbaijan-islamic-banking-knocking-on-the-door ; azernews.az/business/93359.html (25.02.2016)","REFUTED - no instrument to confirm. Absence here is documented, not inferred from silence: the central bank itself states legislation is still in draft and that no bank operates in full compliance with Islamic banking principles. Coded 0 rather than left open on that basis.",2026-08-16
AZE,Azerbaijan,National central bank,2021,2020-12-31,ib_legal_framework,0,verified,high,"No dedicated instrument in force at any reference date. Draft amendments to the Civil Code, Tax Code and the Laws 'On Banks' and 'On Non-Bank Credit Organizations' were still under legal review in Feb 2026 - Central Bank of Azerbaijan, Director General Mahmudzade, interview | trend.az/business/4155239.html ; eurasianet.org/azerbaijan-islamic-banking-knocking-on-the-door ; azernews.az/business/93359.html (25.02.2016)","REFUTED - no instrument to confirm. Absence here is documented, not inferred from silence: the central bank itself states legislation is still in draft and that no bank operates in full compliance with Islamic banking principles. Coded 0 rather than left open on that basis.",2026-08-16
AZE,Azerbaijan,National central bank,2011,2010-12-31,ib_regime,,open,,,"Left open. No source examined covers the CBA licence register at 2010-12-31. Islamic-window activity at the International Bank of Azerbaijan dates from around 2012-2013, after this date, but absence of evidence is not evidence of absence (D-39). Not coded 0.",
AZE,Azerbaijan,National central bank,2014,2013-12-31,ib_regime,1,verified,medium,"CORRECTED 2026-08-16, superseding the IFSB-share inference. IFSB, IFSI Stability Report 2015, Chart 1.1.1.3, p.24: Islamic banking share of total domestic banking assets = 1.0% (1H2014). A measurable share of domestic banking assets cannot exist without licensed Islamic banks.","The IFSB 1H2014 share of 1.0% derives from the International Bank of Azerbaijan's Islamic WINDOW, not a standalone licensed Islamic bank. Register rule (D-34) gives 1, not 2. The superseded inference — a measurable share of domestic banking assets implies licensed Islamic banks — is sound for 2 versus 0 but cannot separate a standalone bank from a window, and must not be used in window-based markets.",2026-08-16
AZE,Azerbaijan,National central bank,2017,2016-12-31,ib_regime,0,bracketed,low,"No standalone licensed Islamic bank at the reference date: Azerbaijan has no dedicated Islamic banking legislation and the CBA states that no bank operates in full compliance with Islamic banking principles | trend.az/business/4155239.html (CBA Director General, Feb 2026) ; eurasianet.org/azerbaijan-islamic-banking-knocking-on-the-door ; gulfnews.com/business/banking/azerbaijans-iba-plans-stand-alone-islamic-banking-unit-1.1373662","APPARENT FALL FROM 2 IN 2014 - EXPLANATION. The verified 2014 cell is derived from the IFSB share chart (1.0%), and the project's standing inference is that a measurable share implies licensed Islamic banks. In Azerbaijan that share came from the International Bank of Azerbaijan's Islamic WINDOW, not from a standalone licensed Islamic bank; IBA was restructured and defaulted in 2017 and the window did not survive as a licensed entity. So the fall is an artefact of the 2014 cell's source basis, not a real downgrade. Value 1 is unobservable here because Azerbaijan has no dedicated framework and windows are not separately licensed (the codebook blind spot), so rule 7 gives the lower value, 0. Confidence low.",2026-08-16
AZE,Azerbaijan,National central bank,2021,2020-12-31,ib_regime,0,bracketed,medium,"No standalone licensed Islamic bank at the reference date; no dedicated legislation and draft amendments still under review - Central Bank of Azerbaijan, Director General Mahmudzade: no bank operates in full compliance with Islamic banking principles | trend.az/business/4155239.html ; modern.az/en/aktual/569958/why-is-there-no-legislation-on-islamic-banking-in-azerbaijan/","Same reasoning as the 2017 cell: no standalone licensed Islamic bank, value 1 unobservable in the absence of a dedicated framework, conservative code 0 under rule 7. See the 2017 note for the explanation of the fall from the verified 2014 cell.",2026-08-16
BEN,Benin,BCEAO,2011,2010-12-31,ib_legal_framework,0.0,verified,high,"BCEAO Instruction n°002-03-2018 du 21 mars 2018 relative aux dispositions particulieres applicables aux etablissements de credit exercant une activite de finance islamique. Art.20: entry into force on date of signature, 21.03.2018, Dakar, signed Tiemoko Meyliet Kone. Art.3: applies to all credit institutions in any UMOA member state. Art.4: two categories - exclusive Islamic credit institutions, and partial via a dedicated ""Branche islamique"" | bceao.int/sites/default/files/2018-05/Instruction 002-03-2018 dispositions particulieres FI applicables aux ETC-web.pdf","Full text verified. Regional instrument: identical value for all six UMOA economies. Companion texts: 003-03-2018 (SFD, same date), 004-05-2018 and 005-05-2018 (technical characteristics, 02.05.2018)",2026-08-16
BEN,Benin,BCEAO,2014,2013-12-31,ib_legal_framework,0.0,verified,high,"BCEAO Instruction n°002-03-2018 du 21 mars 2018 relative aux dispositions particulieres applicables aux etablissements de credit exercant une activite de finance islamique. Art.20: entry into force on date of signature, 21.03.2018, Dakar, signed Tiemoko Meyliet Kone. Art.3: applies to all credit institutions in any UMOA member state. Art.4: two categories - exclusive Islamic credit institutions, and partial via a dedicated ""Branche islamique"" | bceao.int/sites/default/files/2018-05/Instruction 002-03-2018 dispositions particulieres FI applicables aux ETC-web.pdf","Full text verified. Regional instrument: identical value for all six UMOA economies. Companion texts: 003-03-2018 (SFD, same date), 004-05-2018 and 005-05-2018 (technical characteristics, 02.05.2018)",2026-08-16
BEN,Benin,BCEAO,2017,2016-12-31,ib_legal_framework,0.0,verified,high,"BCEAO Instruction n°002-03-2018 du 21 mars 2018 relative aux dispositions particulieres applicables aux etablissements de credit exercant une activite de finance islamique. Art.20: entry into force on date of signature, 21.03.2018, Dakar, signed Tiemoko Meyliet Kone. Art.3: applies to all credit institutions in any UMOA member state. Art.4: two categories - exclusive Islamic credit institutions, and partial via a dedicated ""Branche islamique"" | bceao.int/sites/default/files/2018-05/Instruction 002-03-2018 dispositions particulieres FI applicables aux ETC-web.pdf","Full text verified. Regional instrument: identical value for all six UMOA economies. Companion texts: 003-03-2018 (SFD, same date), 004-05-2018 and 005-05-2018 (technical characteristics, 02.05.2018)",2026-08-16
BEN,Benin,BCEAO,2021,2020-12-31,ib_legal_framework,1.0,verified,high,"BCEAO Instruction n°002-03-2018 du 21 mars 2018 relative aux dispositions particulieres applicables aux etablissements de credit exercant une activite de finance islamique. Art.20: entry into force on date of signature, 21.03.2018, Dakar, signed Tiemoko Meyliet Kone. Art.3: applies to all credit institutions in any UMOA member state. Art.4: two categories - exclusive Islamic credit institutions, and partial via a dedicated ""Branche islamique"" | bceao.int/sites/default/files/2018-05/Instruction 002-03-2018 dispositions particulieres FI applicables aux ETC-web.pdf","Full text verified. Regional instrument: identical value for all six UMOA economies. Companion texts: 003-03-2018 (SFD, same date), 004-05-2018 and 005-05-2018 (technical characteristics, 02.05.2018)",2026-08-16
BEN,Benin,BCEAO,2011,2010-12-31,ib_regime,0.0,verified,high,"No Islamic credit institution and no Islamic branch in the annexed list. Rapport annuel 2010 de la Commission Bancaire de l'UMOA, Annexe - liste des etablissements de credit | cb-umoa.org/sites/default/files/2022-01/Rapport%20Annuel%202010%20de%20la%20Commission%20Bancaire.pdf","The Branche islamique category did not exist in UMOA before Instruction 002-03-2018 of 21.03.2018, so a licence list is exhaustive at this reference date",2026-08-16
BEN,Benin,BCEAO,2014,2013-12-31,ib_regime,0.0,verified,high,"No Islamic credit institution and no Islamic branch in the annexed list. Rapport annuel 2013 de la Commission Bancaire de l'UMOA, Annexe | cb-umoa.org/sites/default/files/2025-02/Rapport%20Annuel%202013%20de%20la%20Commission%20Bancaire_compressed.pdf","The Branche islamique category did not exist in UMOA before Instruction 002-03-2018 of 21.03.2018, so a licence list is exhaustive at this reference date",2026-08-16
BEN,Benin,BCEAO,2017,2016-12-31,ib_regime,0.0,verified,high,"No Islamic credit institution and no Islamic branch in the annexed list. Rapport annuel 2016 de la Commission Bancaire de l'UMOA, Annexe II | cb-umoa.org/sites/default/files/2022-01/Rapport%20Annuel%202016%20de%20la%20Commission%20Bancaire.pdf","The Branche islamique category did not exist in UMOA before Instruction 002-03-2018 of 21.03.2018, so a licence list is exhaustive at this reference date",2026-08-16
BEN,Benin,BCEAO,2021,2020-12-31,ib_regime,0.0,verified,high,"No Islamic credit institution and no Islamic branch in the annexed list. Rapport annuel 2020 de la Commission Bancaire de l'UMOA, Annexe II.1.1 Liste des etablissements de credit | cb-umoa.org/sites/default/files/2022-01/Rapport%20annuel%202020%20de%20la%20Commission%20Bancaire.pdf","Exhaustive search of the 2020 report returns 9 occurrences of ""islamique"", all accounted for: BIS, BIN, Tamweel Africa Holding, two training seminars, and one generic mention of ""l'ouverture d'une branche islamique"" in the enumeration of operations subject to prior authorisation (Instruction 002-03-2018 Art.7). No Islamic branch was authorised in 2020: of 18 files handled, 4 were declarations of intent to open succursales and 14 were other requests",2026-08-16
BFA,Burkina Faso,BCEAO,2011,2010-12-31,ib_legal_framework,0.0,verified,high,"BCEAO Instruction n°002-03-2018 du 21 mars 2018 relative aux dispositions particulieres applicables aux etablissements de credit exercant une activite de finance islamique. Art.20: entry into force on date of signature, 21.03.2018, Dakar, signed Tiemoko Meyliet Kone. Art.3: applies to all credit institutions in any UMOA member state. Art.4: two categories - exclusive Islamic credit institutions, and partial via a dedicated ""Branche islamique"" | bceao.int/sites/default/files/2018-05/Instruction 002-03-2018 dispositions particulieres FI applicables aux ETC-web.pdf","Full text verified. Regional instrument: identical value for all six UMOA economies. Companion texts: 003-03-2018 (SFD, same date), 004-05-2018 and 005-05-2018 (technical characteristics, 02.05.2018)",2026-08-16
BFA,Burkina Faso,BCEAO,2014,2013-12-31,ib_legal_framework,0.0,verified,high,"BCEAO Instruction n°002-03-2018 du 21 mars 2018 relative aux dispositions particulieres applicables aux etablissements de credit exercant une activite de finance islamique. Art.20: entry into force on date of signature, 21.03.2018, Dakar, signed Tiemoko Meyliet Kone. Art.3: applies to all credit institutions in any UMOA member state. Art.4: two categories - exclusive Islamic credit institutions, and partial via a dedicated ""Branche islamique"" | bceao.int/sites/default/files/2018-05/Instruction 002-03-2018 dispositions particulieres FI applicables aux ETC-web.pdf","Full text verified. Regional instrument: identical value for all six UMOA economies. Companion texts: 003-03-2018 (SFD, same date), 004-05-2018 and 005-05-2018 (technical characteristics, 02.05.2018)",2026-08-16
BFA,Burkina Faso,BCEAO,2017,2016-12-31,ib_legal_framework,0.0,verified,high,"BCEAO Instruction n°002-03-2018 du 21 mars 2018 relative aux dispositions particulieres applicables aux etablissements de credit exercant une activite de finance islamique. Art.20: entry into force on date of signature, 21.03.2018, Dakar, signed Tiemoko Meyliet Kone. Art.3: applies to all credit institutions in any UMOA member state. Art.4: two categories - exclusive Islamic credit institutions, and partial via a dedicated ""Branche islamique"" | bceao.int/sites/default/files/2018-05/Instruction 002-03-2018 dispositions particulieres FI applicables aux ETC-web.pdf","Full text verified. Regional instrument: identical value for all six UMOA economies. Companion texts: 003-03-2018 (SFD, same date), 004-05-2018 and 005-05-2018 (technical characteristics, 02.05.2018)",2026-08-16
BFA,Burkina Faso,BCEAO,2021,2020-12-31,ib_legal_framework,1.0,verified,high,"BCEAO Instruction n°002-03-2018 du 21 mars 2018 relative aux dispositions particulieres applicables aux etablissements de credit exercant une activite de finance islamique. Art.20: entry into force on date of signature, 21.03.2018, Dakar, signed Tiemoko Meyliet Kone. Art.3: applies to all credit institutions in any UMOA member state. Art.4: two categories - exclusive Islamic credit institutions, and partial via a dedicated ""Branche islamique"" | bceao.int/sites/default/files/2018-05/Instruction 002-03-2018 dispositions particulieres FI applicables aux ETC-web.pdf","Full text verified. Regional instrument: identical value for all six UMOA economies. Companion texts: 003-03-2018 (SFD, same date), 004-05-2018 and 005-05-2018 (technical characteristics, 02.05.2018)",2026-08-16
BFA,Burkina Faso,BCEAO,2011,2010-12-31,ib_regime,0.0,verified,high,"No Islamic credit institution and no Islamic branch in the annexed list. Rapport annuel 2010 de la Commission Bancaire de l'UMOA, Annexe - liste des etablissements de credit | cb-umoa.org/sites/default/files/2022-01/Rapport%20Annuel%202010%20de%20la%20Commission%20Bancaire.pdf","The Branche islamique category did not exist in UMOA before Instruction 002-03-2018 of 21.03.2018, so a licence list is exhaustive at this reference date",2026-08-16
BFA,Burkina Faso,BCEAO,2014,2013-12-31,ib_regime,0.0,verified,high,"No Islamic credit institution and no Islamic branch in the annexed list. Rapport annuel 2013 de la Commission Bancaire de l'UMOA, Annexe | cb-umoa.org/sites/default/files/2025-02/Rapport%20Annuel%202013%20de%20la%20Commission%20Bancaire_compressed.pdf","The Branche islamique category did not exist in UMOA before Instruction 002-03-2018 of 21.03.2018, so a licence list is exhaustive at this reference date",2026-08-16
BFA,Burkina Faso,BCEAO,2017,2016-12-31,ib_regime,0.0,verified,high,"No Islamic credit institution and no Islamic branch in the annexed list. Rapport annuel 2016 de la Commission Bancaire de l'UMOA, Annexe II | cb-umoa.org/sites/default/files/2022-01/Rapport%20Annuel%202016%20de%20la%20Commission%20Bancaire.pdf","The Branche islamique category did not exist in UMOA before Instruction 002-03-2018 of 21.03.2018, so a licence list is exhaustive at this reference date",2026-08-16
